Key,Id,English(en)
Empty,5880112783286272, 
ABC_Name_1,346366113996800,Beam
ABC_Name_2,346366126579712,AOE
ABC_Name_3,346366126579713,Summon
ABC_Name_4,346366126579714,Projectile
ABC_Name_5,346366126579715,Buff
ABC_Name_6,346366126579716,Movement
ABL_Name_2,346366126579717,Ballistics Turret
ABL_Desc_2,346366126579718,Deploy a turret that shoots nearby enemies.
ABL_Name_3,346366126579719,Turbo Charge
ABL_Desc_3,346366126579720,"Hold to charge up, then surge forward and explode."
ABL_Name_7,346366126579721,Energy Bomb
ABL_Desc_7,346366126579722,"Throw a bomb that deals <#FFEB04><link=""Keyword:12"">[Electric]</link></color> damage."
ABL_Name_8,346366126579723,Dash
ABL_Desc_8,346366126579724,Move quickly in the direction you're facing.
ABL_Name_9,346366126579725,Free Hugs
ABL_Desc_9,346366126579726,"Call your buddy Reset to help! <br>Pulls in nearby enemies and deals pulses of <#FFEB04><link=""Keyword:5"">[Kinetic]</link></color> damage."
ABL_Name_27,346366126579727,Meat Missile
ABL_Desc_27,346366126579728,Yeet a big rocket that explodes on impact.
ABL_Name_52,346366130774016,Landmines
ABL_Desc_52,346366130774017,Deploy a row of landmines.
ABL_Name_53,346366130774018,Windwalk
ABL_Desc_53,346366130774019,"Teleport forward and gain Air Walk<br>Melee attacks deal 50% additional <#FFEB04><link=""Keyword:5"">[Kinetic]</link></color> damage for 10s"
ABL_Name_56,346366130774020,Blastwave
ABL_Desc_56,346366130774021,"Create a blast wave that deals <#FFEB04><link=""Keyword:5"">[Kinetic]</link></color> damage and knocks back enemies."
ABL_Name_63,346366130774022,Explosive Dash
ABL_Desc_63,346366130774023,Dash forward and leave an explosion behind.
ABL_Name_64,346366130774024,Banzai Drop
ABL_Desc_64,346366130774025,"Tap to jump, hold for bigger jump. <br>Use in the air to slam down for a big boom."
ABL_Name_66,346366130774026,Squishy Slide
ABL_Desc_66,346366130774027,Quickly slide in the direction of your movement.
ABL_Name_68,346366130774028,Super Meat Mush
ABL_Desc_68,346366130774029,"Serve a treat that lures enemies, then damages and stuns anyone attacking it."
ABL_Desc_69,346366130774031,"Throw a bomb that deals <#FFEB04><link=""Keyword:5"">[Kinetic]</link></color> damage."
ABL_Desc_71,28309369228615680,"Create a blast wave that deals <#FFEB04><link=""Keyword:13"">[Fire]</link></color> damage and knocks back enemies."
ABL_Name_73,346366130774034,Glizzy Gulp
ABL_Desc_73,346366130774035,"Pound some Gulp and become a super hero!<br>+500% attack speed, 5x the damage, extra jumps and increased speed!"
ABL_Desc_78,346366130774041,"Throw a bomb that deals <#FFEB04><link=""Keyword:14"">[Slime]</link></color> damage."
ABL_Desc_79,28309369232809984,"Create a blast wave that deals <#FFEB04><link=""Keyword:14"">[Slime]</link></color> damage and knocks back enemies."
ABL_Desc_80,28309369232809985,"Create a blast wave that deals <#FFEB04><link=""Keyword:12"">[Electric]</link></color> damage and knocks back enemies."
ABL_Name_81,346366130774046,Sprint
ABL_Desc_81,346366130774047,Run faster while moving forward. Hold for a longer sprint.
ABL_Desc_82,346366130774049,"Throw a bomb that deals <#FFEB04><link=""Keyword:15"">[Ice]</link></color> damage."
ABL_Name_86,346366130774056,Supply Box
ABL_Desc_86,346366130774057,Place down an Ammo Box that allows nearby players to shoot without reloading and grants +50% attack speed
ABL_Name_87,346366130774058,Franken Beam
ABL_Desc_87,346366130774059,"Fire a big laser beam, then lose your head!"
ABL_Name_88,346366130774060,Monolithic Congestion
ABL_Desc_88,346366130774061,Hurl your head to bash a baddy or jam something up.
ABL_Name_89,346366130774062,Flash Freeze
ABL_Desc_89,346366130774063,Instantly freeze all enemies within 25 meters.
ABL_Name_90,346366130774064,Spider Dash
ABL_Desc_90,28309369232809986,Quickly dash in the direction of your movement.
ABL_Name_91,346366130774066,Homing Eyeballs
ABL_Desc_91,346366130774067,Launch tiny eyes that fly toward enemies then explode.
ABL_Name_92,346366130774068,Gobble Bomb
ABL_Desc_92,346366130774069,Throw a bomb that attracts enemies before exploding.
ABL_Name_95,346366130774070,Hover Turret
ABL_Desc_95,346366130774071,Deploy a flying turret that shoots nearby enemies.
ABL_Name_96,346366130774072,Micro Jacksons
ABL_Desc_96,346366130774073,Deploy vicious mutant minions.
ABL_Name_97,346366130774074,Tenderizer Beam
ABL_Desc_97,346366130774075,Focus your power on a beam that just wrecks everything in its path.
ABL_Desc_98,79423295005384704,Yeet a big rocket that explodes on impact. Deals 3x damage on direct hit
ABL_Desc_99,346366130774079,"Throw a bomb that deals <#FFEB04><link=""Keyword:13"">[Fire]</link></color> damage."
ABL_Name_100,346366130774080,Slaughter Step
ABL_Desc_100,346366130774081,"Dash forward<br>Ranged attacks deal 20% additional <#FFEB04><link=""Keyword:5"">[Kinetic]</link></color> damage for 10s"
ABL_Name_101,346366130774082,Super Charge
ABL_Desc_101,346366130774083,"Gain <#FFEB04><link=""Keyword:10"">[Infinite Ammo]</link></color> and +40% Attack Speed for 15s."
ABL_Desc_103,28309369232809987,"Create a blast wave that deals <#FFEB04><link=""Keyword:15"">[Ice]</link></color> damage and knocks back enemies."
ABL_Name_108,346366130774094,Quake Rush
ABL_Desc_108,346366130774095,"<#FFEB04><link=""Keyword:5"">[Kinetic]</link></color> damage enemies as you run around."
ABL_Name_117,346366130774112,Bone Armor
ABL_Desc_117,346366130774113,"Grant 150 <#FFEB04><link=""Keyword:11"">[Barrier]</link></color> to nearby allies for 30s.<br>While <#FFEB04><link=""Keyword:11"">[Barrier]</link></color> lasts, Reflect incoming damage."
ABL_Desc_118,102231626447052800,"Grant 150 <#FFEB04><link=""Keyword:11"">[Barrier]</link></color> to nearby allies for 15s.<br>While <#FFEB04><link=""Keyword:11"">[Barrier]</link></color> lasts, Reflect incoming damage."
ABL_Name_142,346366130774162,Double Lariat
ABL_Desc_142,346366130774163,Spin around and smack nearby enemies. Yee-haw!
ABL_Name_147,346366130774172,Wasp Dash
ABL_Desc_147,346366130774173,"Dash forward, dropping booms as you go."
ABL_Desc_152,346366130774183,"Dash forward<br>Ranged attacks deal 20% additional <#FFEB04><link=""Keyword:15"">[Ice]</link></color> damage for 10s"
ABL_Desc_153,346366130774185,"Dash forward<br>Ranged attacks deal 20% additional <#FFEB04><link=""Keyword:14"">[Slime]</link></color> damage for 10s"
ABL_Desc_154,346366130774187,"Dash forward<br>Ranged attacks deal 20% additional <#FFEB04><link=""Keyword:12"">[Electric]</link></color> damage for 10s"
ABL_Desc_155,346366130774189,"Dash forward<br>Ranged attacks deal 20% additional <#FFEB04><link=""Keyword:13"">[Fire]</link></color> damage for 10s"
ABL_Name_164,346366130774206,Duckstone Throw
ABL_Desc_164,346366130774207,Throw a big ol' exploding rock.
ABL_Name_169,346366130774216,Hover Beam
