Key,Id,English(en)
MODE_SELECT_HOST_PUBLIC,214248185856,HOST PUBLIC
MODE_SELECT_HOST_FRIENDS_ONLY,278383288320,Host Private
MODE_SELECT_HOST_PRIVATE,327255318528,Single Player
CARL_TERMINAL_MISSING_MATERIALS,30366100192485376,Missing Materials
CARL_TERMINAL_REQUIRED_MATERIALS_HEADER,30380913715044352,Required Materials:
MAIN_MENU_SKIP_TUTORIAL,31076355092242432,Skip Tutorial
MAIN_MENU_DISCORD_SERVER_BUTTON,31076690544287744,Meat up in Discord
MAIN_MENU_DEBUG_HEADER,31076998813048832,Debug
MAIN_MENU_UPLOAD_LOGS,31077125934014464,Upload Logs
MAIN_MENU_WISHLIST,31077254808199168,Wishlist On Steam
MAIN_MENU_MULTIPLAYER,31077375373467648,Multiplayer
MAIN_MENU_OPTIONS,31077450753499136,Options
MAIN_MENU_RESUME,31077530629824512,Resume [InputAction:UI/Cancel]
MAIN_MENU_ABANDON_RUN,31077628587794432,Exit to Lobby
MAIN_MENU_EXIT,31077710762598400,Exit Game
MESSAGE_BOX_QUIT_TITLE,31098413507403776,Quit Game
MESSAGE_BOX_QUIT_MESSAGE,31098545544093696,Are you sure you want to exit?
MESSAGE_BOX_FEEDBACK_TITLE,31099905689772032,Feedback
MESSAGE_BOX_FEEDBACK_MESSAGE,31100033314054144,Would you take a short survey to help us improve the game?
MESSAGE_BOX_FEEDBACK_CONFIRM,31100327628365824,Yes!
MESSAGE_BOX_FEEDBACK_CANCEL_ON_EXIT,31100501750702080,"No, I'm good"
MESSAGE_BOX_FEEDBACK_CANCEL,31100557044211712,Maybe Later
MESSAGE_BOX_JOIN_GAME_TITLE,31100726099828736,Join New Game
MESSAGE_BOX_JOIN_FRIEND_GAME_MESSAGE,31100789127634944,You have been invited to join {FriendName}'s game
MESSAGE_BOX_JOIN_FRIEND_CONFIRM,31104888199962624,Join Game
MESSAGE_BOX_JOIN_FRIEND_CANCEL,31104948069457920,"Nope, I'm good!"
MESSAGE_BOX_TUTORIAL_REQUIRED_TITLE,31119792659226624,Tutorial Required
MESSAGE_BOX_TUTORIAL_REQUIRED_MESSAGE,31119917020340224,You must complete the tutorial before joining a multiplayer game.<br>Would you like to start the tutorial now?
MESSAGE_BOX_NETWORK_DISCONNECT_TITLE,31120107987001344,Host Disconnected
MESSAGE_BOX_NETWORK_DISCONNECT_MESSAGE,31120173598498816,The host has disconnected.
MESSAGE_BOX_NETWORK_TIMEOUT_TITLE,31120286274281472,Error: Network Timeout
MESSAGE_BOX_NETWORK_TIMEOUT_MESSAGE,31120316263555072,Client connection timed out trying to connect or send/receive data
MESSAGE_BOX_VERSION_MISMATCH_TITLE,31120753725267968,Version Mismatch
MESSAGE_BOX_VERSION_MISMATCH_MESSAGE,31120802169479168,Unable to join game due to a version mismatch. Both you and the host may need to re-launch the game in order to get the latest updates.
MESSAGE_BOX_NEW_BUILD_TITLE,31121109494521856,New build available
MESSAGE_BOX_NEW_BUILD_MESSAGE,31121145544564736,A new build of the game is available. Click OK to restart and start the update download
MESSAGE_BOX_COMPUTER_OVERHEATING_TITLE,31121364780834816,Computer Overheating
MESSAGE_BOX_COMPUTER_OVERHEATING_MESSAGE,31121436348243968,Lower resolution and frame rate to help cool it down?
MESSAGE_BOX_COMPUTER_OVERHEATING_CONFIRM,31121455612682240,Cool it down
MESSAGE_BOX_COMPUTER_OVERHEATING_CANCEL,31121502840545280,Let it burn
MESSAGE_BOX_EXIT_GAME_TITLE,31121802745864192,Exit Game
MESSAGE_BOX_EXIT_GAME_MESSAGE,31121844806344704,Are you sure you want to abandon your friends?
MESSAGE_BOX_EXIT_GAME_CONFIRM,31121881414230016,Exit to Main Menu
MESSAGE_BOX_EXIT_GAME_CANCEL,31121900481536000,Cancel
MESSAGE_BOX_EXIT_GAME_SECONDARY,31121914842832896,Exit to Desktop
MESSAGE_BOX_GAME_FULL_TITLE,31122293072584704,Game Full
MESSAGE_BOX_GAME_FULL_MESSAGE,31122339318980608,"Sorry, that game is already full. Click OK to return to the main menu."
MESSAGE_BOX_BLOCK_PLAYER_TITLE,31122656211230720,Block Player
MESSAGE_BOX_BLOCK_PLAYER_MESSAGE,31122703279710208,Blocked players cannot join your hosted games and are permanently muted if they happen to be in games you join.<br><br>Are you sure you want to block {PlayerName}?
MESSAGE_BOX_BLOCK_PLAYER_CONFIRM,31122718286929920,Block
MESSAGE_BOX_BLOCK_PLAYER_CANCEL,31122765070196736,Cancel
MESSAGE_BOX_RESET_RUN_MESSAGE,31141144124448768,Are you sure you want to reset the run?
MESSAGE_BOX_RESET_RUN_TITLE,31141105490714624,Reset Run
MESSAGE_BOX_ABANDON_RUN_TITLE,31141752260780032,Abandon This Run
MESSAGE_BOX_ABANDON_RUN_MESSAGE,31141795957039104,Are you sure you want to abandon your run and return to ROX-1?
MESSAGE_BOX_ABANDON_RUN_CONFIRM,31141825619156992,Abandon Run
MESSAGE_BOX_ABANDON_RUN_CANCEL,31141851095359488,Cancel
MESSAGE_BOX_SKIP_TUTORIAL_TITLE,31142106562027520,Skip Tutorial
MESSAGE_BOX_SKIP_TUTORIAL_MESSAGE,31142143690006528,Are you sure you want to skip the tutorial and return to the ship?
MESSAGE_BOX_SKIP_TUTORIAL_CONFIRM,31142158563008512,Skip Tutorial
MESSAGE_BOX_SKIP_TUTORIAL_CANCEL,31142171938643968,Cancel
MESSAGE_BOX_MISSING_ARTIFACT_MESSAGE,31142435298992128,Are you sure you want to continue without selecting an ultimate?
MESSAGE_BOX_RESET_ACCOUNT_TITLE,31142628807401472,Reset Account
MESSAGE_BOX_RESET_ACCOUNT_MESSAGE,31142661908848640,Are you sure you want to reset your account?<br>This will delete all progress and unlocks.
MESSAGE_BOX_RESET_ACCOUNT_CONFIRM,31142672679821312,Reset Account
MESSAGE_BOX_RESET_ACCOUNT_CANCEL,31142685069795328,Cancel
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_TITLE,31142952192434176,Video settings changed
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_MESSAGE,31142986732527616,Video settings have changed. Accept?<br><br>Settings will automatically revert in 5 seconds
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CONFIRM,31142998338166784,Accept Changes
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CANCEL,31143010442928128,Revert Changes
MESSAGE_BOX_DEFAULT_CONFIRM,31145012967235584,OK
MESSAGE_BOX_DEFAULT_CANCEL,31145042352529408,Cancel
HUNTER_THREAT_DANGER,35125167033147392,DANGER !
HUNTER_THREAT_BANISHED,35125235089924096,BANISHED !
HUNTER_THREAT_IMMINENT,35125348260634624,THREAT IMMINENT !!
HUNTER_THREAT_PANTS,35125431806976000,!! WET PANTS NOW !!
HUNTER_THREAT_ENRAGED,35125494096584704,!! HUNTERS ENRAGED !!
EVENT_HEADER_PRIME,35806126556569600,Prime Directive
EVENT_HEADER_SECONDARY,35806182923821056,Secondary Directive
EVENT_COMPLETE_REWARDS,36526246664855552,Rewards:
EVENT_BANNER_PRIME_DIRECTIVE,37577651529965568,Prime Directive Completed!
EVENT_BANNER_COMPLETE,37577933345251328,Complete!
EVENT_BANNER_SECONDARY_DIRECTIVE,37581156248444928,Secondary Directive Completed!
WEAPON_SWITCH_CHARGED,37939439253577728,Charged
LOADOUT_WEAPON_NONE_TITLE,38383410991849472,No Weapon
LOADOUT_WEAPON_NONE_DESC,38383462514679808,"Well, shoot."
LOADOUT_ARTIFACT_NONE_TITLE,38383464444059648,No Artifact
LOADOUT_ARTIFACT_NONE_DESC,38383465480052736,"Just a sad, empty equipment slot."
LOADOUT_FLAIR_NONE_TITLE,38383466306330624,"Hey, no Flair!"
LOADOUT_FLAIR_NONE_DESC,38383568223723520,"You do want to express yourself, don't you?"
ITEM_INSPECTION_PROMPT,42642500681195520,Inspect
ITEM_NOTIFICATION_NEW_ITEM,42646904150941696,New!
ITEM_NOTIFICATION_STACK_COUNT_FMT,42659474148679680,x{StackCount}
ITEM_RARITY_UNSET,42667980813754368, 
ITEM_RARITY_COMMON,42668023662764032,Common
ITEM_RARITY_RARE,42668026103848960,Rare
ITEM_RARITY_EPIC,42668027727044608,Epic
ITEM_RARITY_LEGENDARY,42668029052444672,Legendary
ITEM_RARITY_UNCOMMON,42668357307064320,Uncommon
INTERACTION_PROMPT_TYPE_NONE_FMT,43126879249489920,{ActionText}
INTERACTION_PROMPT_TYPE_PRESS_FMT,43127706953441280,{BindingText} {ActionText}
INTERACTION_PROMPT_TYPE_HOLD_FMT,43127738511384576,Hold {BindingText} to {ActionText}
INTERACT_PROMPT_PING,43136443831279616,[InputAction:Gameplay/MarkTarget] Ping
DAMAGE_TYPE_NONE,43142514054520832, 
DAMAGE_TYPE_FIRE,43142553082519552,Fire
DAMAGE_TYPE_ICE,43142575572377600,Ice
DAMAGE_TYPE_SLIME,43142609625931776,Slime
DAMAGE_TYPE_ELECTRIC,43142638340136960,Electric
DAMAGE_TYPE_KINETIC,43142700797517824,Kinetic
INTERACTION_PROMPT_HOLD_SUCCESS,43183389103087616,Success!
EMPLOYEE_RANK_TITLE,38764887885733888,EMPLOYEE RANK
EMPLOYEE_RANK_RANKUP_FMT,38764977085997056,RANK UP! +{Value}
EMPLOYEE_RANK_POINTS_FORMAT,38765036250849280,{Current} / {Total} RP
INTERACT_PROMPT_HEALTH_GAIN_FMT,43375595235565568,+{HealthGain}
EVENT_HUNTER_TIMER_ADVANCED,43479223816413184,Hunter Arrival Advanced
EVENT_HUNTER_TIMER_DELAYED,43480205547790336,Hunter Arrival Delayed
EVENT_COMPLETE_NO_REWARDS,43499746143232000,Complete!
MESSAGE_BOX_QUIT_TITLE_HOST,45269738467614720,Leave hosted game?
MESSAGE_BOX_QUIT_MESSAGE_HOST,45269853613842432,Are you sure you want to leave this game?<br>You are the Host and leaving will kick all other players.
WISHLIST_ON_STEAM,45665676281503744,Wishlist On<br><b>STEAM</b>
MODE_SELECT_TITLE,45666774727778304,Mode Select
MODE_SELECT_JOIN_GAME_TITLE,45666886526951424,Join Game
,45670660427472896,{Distance}m
EVENT_OBJECTIVE_DAMAGE_ANY_ENEMY_FMT,45684262786031616,Damaged <nobr>{NumDamaged}/{NumToDamage}</nobr>
EVENT_OBJECTIVE_TASKS_FMT,45737656791851008,<nobr>{NumDone}/{NumTodo}</nobr> {Detail}
EMERGENCY_TEXT_DEFAULT_TITLE,46144708803489792,Application startup error
EMERGENCY_TEXT_DEFAULT_DESCRIPTION,46144714159616000,An error has caused the application to fail during startup. Restarting your computer may help.
EMERGENCY_TEXT_DEFAULT_FOOTER,46312787621638144,You can always reach out to us for help in the #create-bug-reports channel on the SwapMeat Discord server.<br>This application will shut down automatically in 30 seconds
EMERGENCY_TEXT_IO_DESCRIPTION,46312933025574912,"There was an error reading one or more files during startup. This often happens because of overzealous virus checkers or a previous run of the game not shutting down completely.<br>If the issue persists, a restart of your computer should clear the file locks."
HARVESTER_CORE,46389181780320256,Harvester Core
NODE_1,46389232518815744,Node 1
NODE_2,46389312764239872,Node 2
NODE_3,46389348839448576,Node 3
NODE_4,46389350567501824,Node 4
COMPASS_DISTANCE_FMT,46402692690468864,{Distance}m
JUMP_PAD,46406064923467776,Jump Pad
,46626320069681152,MUSCLE_LEGS_DISPENSER
,46626320078069760,COACH_DAN
,46626320602357760,ALIEN_BULB
,46626320652689408,A_FRANKEN_TICKLER
,46626321118257152,INSECT_EGGS
,46626321504133120,SMOKER_1_ACTIVATOR!
,46626321504133121,SMOKER_2_ACTIVATOR!
,46626321504133122,SMOKER_3_ACTIVATOR!
,46626321667710976,A_CAPTURED_SPIDER
,46626321684488192,SENTRY_TURRET
,46626321751597056,SPAWNING_POOL
,46626321801928704,JELLY_FORGE
,46626322183610368,DUCKSTONE
,46626322292662272,A_JUNK_RETRIEVER
,46626322737258496,A Turbo Boy
,46626322896642048,Dirtbag
,46626323144105984,Meat Mush
,46626323425124352,Broadside
,46626323492233216,Menacing Tentacle
,46626325039931392,A Gobble Gazer
,46626325044125696,Toxic Slime
,46626325560025088,Piranha
,46626326696681472,A Reef Shark
,46626327065780224,A Belly Grinder
,46626328403763200,A Cerebral Hopper
,46626328747696128,Exhaust Port
,46626329594945536,Tibbler's Heart
,46626329783689216,Payload
,46626329846603776,Bolt Burger
,46626330047930368,A Manwasp
,46626330693853184,Steering Panel
,46626330966482944,A Squat Man
,46626331465605120,Goal!
,46626331763400704,A Spider
,46626332157665280,Open Door
,46626334330314752,An Item Capsule
,46626335118843904,Secure the Meat Core!
,46626335236284416,A Hive Tendril
,46626335244673024,Meat Core Site
,46626335492136960,A Ribeye
,46626336641376256,Gumbo Turret
,46626336855285760,Jetpack Alien
,46626337731895296,Meat Zord
,46626339438977024,Shark
,46626339598360576,LANKYALIEN
,46626339686440960,A_LEVIATHAN
,46626339795492864,HEALTH_STATION
,46626341171224576,A_TURRET
,46626341703901184,TIBBLER'S_KIDNEY
,46626343767498752,THE_MEAT_MARKET
,46626344186929152,A_STELLAR_CHEF
,46626347479457792,ALIENSNIPER
,46626347567538176,SQUAT_BOY
,46626350168006656,SUPPLY_BOX
,46626350235115520,RESEARCHER_POD
,46626350449025024,A_PIRANHA
,46626350780375040,A_MEAT_SAUCER
,46626351082364928,A_WASP
MEAT_DISPENSER,46628101025685504,Meat Dispenser
COACH_DAN,46628101034074112,Coach Dan
ALIEN_BULB,46628101419950080,Alien Bulb
A_FRANKEN_TICKLER,46628101457698816,A Franken Tickler
INSECT_EGGS,46628101830991872,Insect Eggs
SMOKER_1_ACTIVATOR!,46628102149758976,Nuker 1 Activator
SMOKER_2_ACTIVATOR!,46628102149758977,Nuker 2 Activator
SMOKER_3_ACTIVATOR!,46628102149758978,Nuker 3 Activator
A_CAPTURED_SPIDER,46628102279782400,A Captured Spider
SENTRY_TURRET,46628102288171008,Sentry Turret
SPAWNING_POOL,46628102346891264,Spawning Pool
JELLY_FORGE,46628102367862784,Jelly Forge
MEAT_MUSH,46628103278026752,Meat Mush
TOXIC_SLIME,46628104666341376,Toxic Slime
EXHAUST_PORT,46628107665268736,Exhaust Port
TIBBLER'S_HEART,46628108311191552,Calypso's Heart
PAYLOAD,46628108462186496,Payload
BOLT_BURGER,46628108516712448,Bolt Burger
STEERING_PANEL,46628109204578304,Control Panel
GOAL!,46628109821140992,Goal!
OPEN_DOOR,46628110437703680,Open Door
AN_ITEM_CAPSULE,46628112023150592,An Item Capsule
SECURE_THE_MEAT_CORE!,46628112652296192,Secure the Meat Core!
A_HIVE_TENDRIL,46628112698433536,A Hive Tendril
MEAT_CORE_SITE,46628112702627840,Meat Core Site
GOOBER_TURRET,46628113809924096,Goober Turret
HEALTH_STATION,46628116695605248,Health Station
TIBBLER'S_KIDNEY,46628118494961664,Calypso's Kidney
THE_MEAT_MARKET,46628120319483904,The Meat Market
MENACING_TENTACLE,46628121766518784,Menacing Tentacle
SUPPLY_BOX,46628126061486080,Supply Box
RESEARCHER_POD,46628126124400640,Employee Pod
,46616635120742400,PIN!
PIN_MARKER,46746956646510592,PIN!
TUTORIAL_SWAPMEAT,47859765294915584,[InputAction:Interact/Interact] swap meat
Tutorial_LEGABILITY,47863131572002816,[InputAction:Gameplay/LegsAbility] legs ability
MODE_SELECT_FRIENDS_ONLY,47782185145458688,(Friends Only)
JOIN_GAME_SPECTATE,47816347118198784,Spectate
MENU_COMMON_BACK,47855835508891648,[InputAction:UI/Cancel] Back
JOIN_GAME_PLAYERNAME_FMT,48095464992530432,{PlayerName}'s Game
JOIN_GAME_PLAYERCOUNT_FMT,48096123611504640,{Current}/{Max}
JOIN_GAME_PROTOCOL_MISMATCH,48097039647498240,Version Mismatch
CAVE_ENTRANCE,48527482492321792,Cave Entrance
UI_ITEM_DESC_FMT,50641214507048960,{attributes:list:|<br>}
UI_HITEFFECT_DESC_FMT,50658861504258048,{trigger}: {effect}
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_TITLE,51432847888605184,Tutorial Warning
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_MESSAGE,51432919170801664,To replay the tutorial you must restart in single player. <br>Would you like to return to the main menu to start a single player game?
MESSAGE_BOX_REBIND_CONFLICT_MSG_FMT,52952037393887232,"Input ""{InputPath}"" is already bound to ""{ActionName}"", which will now also need to be bound to a new input."
MESSAGE_BOX_REBIND_BANNED_MSG_FMT,52961862714585088,"Input ""{InputPath}"" is already bound to global action ""{ActionName}""."
MESSAGE_BOX_REBIND_CONFLICT_TITLE,52952033853894656,Key Rebind Conflict
MESSAGE_BOX_REBIND_BANNED_TITLE,52961860839731200,Rebind Key Failed
UI_REQUIREMENT_NONE,52948800652697600,No Requirements
UI_REQUIREMENT_PROGRESSFLAG_FMT,52948896446406656,Requires {flag}
UI_REQUIREMENT_STAT_RUNSFAILED_FMT,52949023231827968,Fail {count:plural:{} run|{} runs}
UI_REQUIREMENT_STAT_PLANETSCOMPLETED_FMT,52949166408589312,Evacuate from {count:plural:{} planet|{} planets}
