Key,Id,Spanish(es)
ABC_Name_1,346366113996800,Rayo
ABC_Name_2,346366126579712,Área de efecto
ABC_Name_3,346366126579713,Invocar
ABC_Name_4,346366126579714,Proyectil
ABC_Name_5,346366126579715,Mejora
ABC_Name_6,346366126579716,Movimiento
ABL_Name_2,346366126579717,Torreta balística
ABL_Desc_2,346366126579718,Despliega una torreta que dispara a los enemigos cercanos.
ABL_Name_3,346366126579719,Turbocarga
ABL_Desc_3,346366126579720,"Mantén pulsado para cargar, luego avanza y explota."
ABL_Name_7,346366126579721,Bomba de energía
ABL_Desc_7,346366126579722,"Lanza una bomba que inflige daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color>."
ABL_Name_8,346366126579723,Carrera rápida
ABL_Desc_8,346366126579724,Muévete rápidamente en la dirección hacia la que estás mirando.
ABL_Name_9,346366126579725,Abrazos gratis
ABL_Desc_9,346366126579726,"¡Llama a Reset para que te eche una mano! <br>Atrae enemigos cercanos e inflige pulsos de daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color>."
ABL_Name_27,346366126579727,Misil de carne
ABL_Desc_27,346366126579728,Lanza un gran cohete que explota al impactar.
ABL_Name_52,346366130774016,Minas terrestres
ABL_Desc_52,346366130774017,Despliega una fila de minas terrestres.
ABL_Name_53,346366130774018,Caminaviento
ABL_Desc_53,346366130774019,"Teletranspórtate hacia adelante y obtén la habilidad Marcha aérea<br>Los ataques cuerpo a cuerpo infligen 50 % de daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> adicional durante 10 s."
ABL_Name_56,346366130774020,Onda expansiva
ABL_Desc_56,346366130774021,"Crea una onda expansiva que inflige daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> y empuja a los enemigos."
ABL_Name_63,346366130774022,Carrera explosiva
ABL_Desc_63,346366130774023,Corre hacia adelante y deja una explosión tras de ti.
ABL_Name_64,346366130774024,Caída Banzai
ABL_Desc_64,346366130774025,"Pulsa para saltar, mantén presionado para realizar un salto más alto. <br>Úsalo en el aire para azotar con fuerza y crear una gran explosión."
ABL_Name_66,346366130774026,Tobogán blandito
ABL_Desc_66,346366130774027,Deslizate rápidamente en la dirección de tu movimiento.
ABL_Name_68,346366130774028,Súper puré de carne
ABL_Desc_68,346366130774029,"Coloca un aperitivo que atrae a los enemigos, inflige daño y aturde a cualquiera que lo ataque."
ABL_Desc_69,346366130774031,"Lanza una bomba que inflige daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color>."
ABL_Name_73,346366130774034,Devorador de jochos
ABL_Desc_73,346366130774035,"¡Es la HORA TURBO! +150 % de velocidad de ataque, daño doble, munición infinita y más velocidad."
ABL_Desc_78,346366130774041,"Lanza una bomba que inflige daño de <#FFEB04><link=""Keyword:14"">[Limo]</link></color>."
ABL_Name_81,346366130774046,Acelerar
ABL_Desc_81,346366130774047,Corre más rápido al avanzar. Mantén presionado el botón para correr durante más tiempo.
ABL_Desc_82,346366130774049,"Lanza una bomba que inflige daño de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color>."
ABL_Name_86,346366130774056,Caja de suministros
ABL_Desc_86,346366130774057,Coloca una caja de munición que permite a los jugadores cercanos disparar sin recargar y otorga +50 % de velocidad de ataque.
ABL_Name_87,346366130774058,Rayo Franken
ABL_Desc_87,346366130774059,¡Dispara un gran rayo láser y pierde la cabeza!
ABL_Name_88,346366130774060,Congestión monolítica
ABL_Desc_88,346366130774061,Lanza tu cabeza para golpear a un malo o obstruir algo.
ABL_Name_89,346366130774062,Congelación instantánea
ABL_Desc_89,346366130774063,Congela a todos los enemigos en un radio de 25 metros.
ABL_Name_90,346366130774064,Carrera arácnida
ABL_Name_91,346366130774066,Ojos rastreadores
ABL_Desc_91,346366130774067,Lanza pequeños ojos que vuelan hacia los enemigos y explotan.
ABL_Name_92,346366130774068,Bomba devoradora
ABL_Desc_92,346366130774069,Lanza una bomba que atrae a los enemigos antes de explotar.
ABL_Name_95,346366130774070,Torreta aérea
ABL_Desc_95,346366130774071,Despliega una torreta voladora que dispara a los enemigos cercanos.
ABL_Name_96,346366130774072,Micro Jacksons
ABL_Desc_96,346366130774073,Despliega feroces secuaces mutantes.
ABL_Name_97,346366130774074,Rayo ablandador
ABL_Desc_97,346366130774075,Concentra tu poder en un rayo que destruye todo a su paso.
ABL_Desc_99,346366130774079,"Lanza una bomba que inflige daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color>."
ABL_Name_100,346366130774080,Paso demoledor
ABL_Desc_100,346366130774081,"Corre hacia adelante<br>Los ataques a distancia infligen 20% de daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> adicional durante 10 s."
ABL_Name_101,346366130774082,Supercarga
ABL_Desc_101,346366130774083,"Obtienes <#FFEB04><link=""Keyword:10"">[Munición infinita]</link></color> y +40 % de velocidad de ataque durante 15 s."
ABL_Name_108,346366130774094,Furia sísmica
ABL_Desc_108,346366130774095,"Inflige daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> a los enemigos mientras corres."
ABL_Name_117,346366130774112,Armadura ósea
ABL_Desc_117,346366130774113,"Otorga 150 de <#FFEB04><link=""Keyword:11"">[Barrera]</link></color> a los aliados cercanos durante 30 s.<br>Mientras dure la <#FFEB04><link=""Keyword:11"">[Barrera]</link></color>, refleja el daño recibido."
ABL_Name_142,346366130774162,Lazo doble
ABL_Desc_142,346366130774163,Gira sobre ti mismo y golpea a los enemigos cercanos. ¡Ajúa!
ABL_Name_147,346366130774172,Carrera avispada
ABL_Desc_147,346366130774173,"Corre hacia adelante, dejando caer bombas a medida que avanzas."
ABL_Desc_152,346366130774183,"Corre hacia adelante<br>Los ataques a distancia infligen 20 % de daño de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color> adicional durante 10 s."
ABL_Desc_153,346366130774185,"Corre hacia adelante<br>Los ataques a distancia infligen 20 % de daño de <#FFEB04><link=""Keyword:14"">[Limo]</link></color> adicional durante 10 s."
ABL_Desc_154,346366130774187,"Corre hacia adelante<br>Los ataques a distancia infligen 20 % de daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color> adicional durante 10 s."
ABL_Desc_155,346366130774189,"Corre hacia adelante<br>Los ataques a distancia infligen 20 % de daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> adicional durante 10 s."
ABL_Name_164,346366130774206,Lanzamiento de pato granate
ABL_Desc_164,346366130774207,Lanza una gran roca explosiva.
ABL_Name_169,346366130774216,Rayo flotante
ABL_Desc_169,346366130774217,Vuela en el aire mientras disparas un potente rayo a objetivos terrestres.
ABL_Name_174,346366130774226,Escupitajo de avispa
ABL_Desc_174,346366130774227,Vomita un cono de proyectiles.
ABL_Name_179,346366130774236,Remolino octópodo
ABL_Desc_179,346366130774237,Gira mientras disparas en todas direcciones. Lucirás genial.
ABL_Name_184,346366130774246,Escupitajo de topo
ABL_Desc_184,346366130774247,Rocía a tus enemigos con dolorosas piedritas.
ABL_Name_197,346366130774272,Madriguera
ABL_Desc_197,346366130774273,Crea un túnel subterráneo y luego explota al salir a la superficie.
ABL_Name_198,346366130774274,Lanzamaníes
ABL_Desc_198,346366130774275,Lanza un maní que dispara a los enemigos cercanos. El nombre es obvio.
ABL_Name_199,346366130774276,Enjambre de cohetes
ABL_Desc_199,346366130774277,Lanza un montón de misiles no guiados.
ABL_Name_200,346366130774278,Marca ninja
ABL_Desc_200,346366130774279,"Lanza 5 shurikens. Cada golpe te otorga<br>+3 % de velocidad de ataque.<br>+10 de daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> <br>+3 % de daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> <br>(Máximo 5 acumulaciones)"
ABL_Name_201,346366130774280,Corte cargado
ABL_Desc_201,346366130774281,Realiza un ataque triple cuerpo a cuerpo con salto.
ABL_Desc_218,346366134968329,"Teletranspórtate hacia adelante y obtén la habilidad Marcha aérea<br>Los ataques cuerpo a cuerpo infligen 50 % de daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color> adicional durante 10 s."
ABL_Desc_219,346366134968331,"Teletranspórtate hacia adelante y obtén la habilidad Marcha aérea<br>Los ataques cuerpo a cuerpo infligen 50 % de daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> adicional durante 10 s."
ABL_Desc_220,346366134968333,"Teletranspórtate hacia adelante y obtén la habilidad Marcha aérea<br>Los ataques cuerpo a cuerpo infligen 50 % de daño de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color> adicional durante 10 s."
ABL_Desc_221,346366134968335,"Teletranspórtate hacia adelante y obtén la habilidad Marcha aérea<br>Los ataques cuerpo a cuerpo infligen 50 % de daño de <#FFEB04><link=""Keyword:14"">[Limo]</link></color> adicional durante 10 s."
ABL_Desc_222,346366134968337,"Lanza 5 shurikens. Cada golpe te otorga<br>+3 % de velocidad de ataque<br>+10 de daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color> <br>+3 % de daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color> <br>(Máximo 5 acumulaciones)."
ABL_Desc_223,346366134968339,"Lanza 5 shurikens. Cada golpe te otorga<br>+3 % de velocidad de ataque<br>+10 de daño de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color> <br>+3 % de daño de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color> <br>(Máximo 5 acumulaciones)."
ABL_Desc_224,346366134968341,"Lanza 5 shurikens. Cada golpe te otorga<br>+3 % de velocidad de ataque<br>+10 de daño de <#FFEB04><link=""Keyword:14"">[Limo]</link></color> <br>+3 % de daño de <#FFEB04><link=""Keyword:14"">[Limo]</link></color> <br>(Máximo 5 acumulaciones)."
ABL_Desc_225,346366134968343,"Lanza 5 shurikens. Cada golpe te otorga<br>+3 % de velocidad de ataque<br>+10 de daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> <br>+3 % de daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> <br>(Máximo 5 acumulaciones)."
ABL_Name_226,346366134968344,Silla plegable
ABL_Desc_226,346366134968345,Considera lanzarle esto a quien se lo merezca.
ABL_Name_227,346366134968346,La gran Beatriz
ABL_Desc_227,346366134968347,Invoca a la abeja reina para volar de un lado a otro y picar a tus enemigos.
ABL_Name_228,346366134968348,Fuga de cerebros
CND_Name_1,346366134968365,Congelado
CND_Desc_1,346366134968366,El objetivo se mueve y ataca con lentitud.
CND_Name_2,346366134968367,Electrificado
CND_Desc_2,346366134968368,Inflige daño continuo a los enemigos cercanos.
CND_Name_3,346366134968369,Embarrado
CND_Desc_3,346366134968370,El objetivo recibe más daño de cualquier procedencia.
CND_Name_4,346366134968371,Sangrado
CND_Desc_4,346366134968372,El objetivo sufre daño con el tiempo.
CND_Name_5,346366134968373,Ardiendo
CND_Desc_5,346366134968374,"El objetivo recibe daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> con el tiempo."
CND_Name_6,346366134968375,Fuego fatuo
CND_Desc_6,346366134968376,"El objetivo recibe daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> continuo y -20 % de velocidad de movimiento."
CND_Name_8,346366134968377,Tambaleado
CND_Desc_8,346366134968378,El objetivo no puede realizar acciones.
CRT_Name_6,346366134968379,Cíclope
CRT_Name_8,346366134968380,Zumbín
CRT_Name_11,346366134968381,Fortachón
CRT_Name_12,346366134968382,Robocohete
CRT_Name_13,346366134968383,Trepador
CRT_Name_22,346366134968384,Escupiala
CRT_Name_26,346366134968385,Amoladora
CRT_Name_28,346366134968386,Rana
CRT_Name_31,346366134968387,Bocadín
CRT_Name_34,346366134968388,Mordelón
CRT_Name_37,346366134968389,Peperojoni
CRT_Name_38,346366134968390,Llantín
CRT_Name_39,346366134968391,Fantasma a la parrilla
CRT_Name_40,346366134968392,Grease Monkey
CRT_Name_41,346366134968393,Martillón
CRT_Name_42,346366134968394,Guajolote fisgón
CRT_Name_43,346366134968395,Halcón porcino
CRT_Name_44,346366134968396,Frankenjoles
CRT_Name_45,346366134968397,Mosquitero
CRT_Name_46,346366134968398,Torre
CRT_Name_47,346366134968399,Vacuo
CRT_Name_48,346366134968400,Legumbirro
CRT_Name_50,346366134968401,Cabeza dura
CRT_Name_51,346366134968402,Nulo
CRT_Name_52,346366134968403,Maniquí de práctica
CRT_Name_53,346366134968404,Artilleroides
CRT_Name_54,346366134968405,Zorpjet
CRT_Name_55,346366134968406,Bronco
CRT_Name_56,346366134968407,Pestosito
CRT_Name_57,346366134968408,Pato granate
CRT_Name_59,346366134968409,Desmán
CRT_Name_60,346366134968410,Globo bufón
CRT_Name_61,346366134968411,Cubo espacial
CRT_Name_62,346366134968412,Piloto corredor de Tangus
CRT_Name_63,346366134968413,Reset
CRT_Name_65,346366134968415,Micro Jackson
CRT_Name_66,346366134968416,Peperojoni Deluxe
CRT_Name_67,346366134968417,La pequeña Beatriz
CRT_Name_68,346366134968418,Alta luciérnaga
CRT_Name_69,346366134968419,Réferi
CRT_Name_70,346366134968420,Pedro Marranero
CRT_Name_71,346366134968421,Senador junior
CRT_Name_72,346366134968422,Juez Reptante
CRT_Name_73,346366134968423,Presidente Rompecuellos
CRT_Name_75,346366134968425,Tronador
CRN_Name_4,346366134968426,Moneda de Carl
CRN_Desc_4,346366134968427,"Otorgado por el propio Carl para conmemorar cada ascenso, sin importar cuán grande o pequeña sea."
CRN_Name_7,346366139162624,Jocho
CRN_Desc_7,346366139162625,"No todo el mundo sabe que ""Jocho"" es un apodo para un hot dog, pero las decisiones que se toman al acuñar esta moneda tienen mucho más sentido una vez que lo sabes."
CRN_Name_26,346366139162626,Punto de incentivo por tarea
CRN_Desc_26,346366139162627,"Un sistema arcaico que, hoy en día, sigue siendo objeto de debate, pero de alguna manera la cultura de puntos permanece."
CRN_Name_28,346366139162628,Muestra de Franken
CRN_Desc_28,346366139162629,"¡Es útil tenerlo a la mano para invitados inesperados! Gracias, Frank."
CRN_Name_29,346366139162630,Amuleto Franken
CRN_Desc_29,346366139162631,Una baratija que alberga lo que parece una salchicha espeluznante consagrada que flota en una sustancia viscosa. ¿Acaso es la forma original de las Franken Carnes?
CRN_Name_30,346366139162632,Muestra de mutante
CRN_Desc_30,346366139162633,¡Tomado con alegría de las garras inconscientes de los Padres Fundidores!
CRN_Name_31,346366139162634,Amuleto mutante
CRN_Desc_31,346366139162635,"Una pequeña masa de materia mutante que ocasionalmente revela otro ojo, mira a su alrededor y luego lo retrae grotescamente. ¡Qué asco!"
CRN_Name_32,346366139162636,Pez pequeño
CRN_Desc_32,346366139162637,"Los pececitos pueden ser pequeños, ¡pero muerden como si tuvieran algo que demostrar!"
CRN_Name_33,346366139162638,Pulpo
CRN_Desc_33,346366139162639,"¡Capturar uno de estos le da al término ""reel de bloopers"" un significado completamente nuevo!"
CRN_Name_34,346366139162640,Krillchicha
CRN_Desc_34,346366139162641,Un manjar intergaláctico.
CRN_Name_35,346366139162642,Pulpocho
CRN_Desc_35,346366139162643,"Superior en todos los aspectos a su primo, el pulpo común. No solo tiene ocho tentáculos, sino que también es bilingüe."
CRN_Name_36,346366139162644,Pez dorado
CRN_Desc_36,346366139162645,¡Hay oro en esas branquias!
CRN_Name_37,346366139162646,Pez globo
CRN_Name_38,346366139162648,Devorador de jocho
CRN_Name_39,346366139162650,Esnórquel
CRN_Name_40,346366139162652,Calamar pro quo
CRN_Name_41,346366139162654,Ermagerda
CRN_Name_42,346366139162656,Memeralda
CRN_Desc_42,346366139162657,"Mineral de nivel 2. Una gema verde brillante que, según se dice, guarda fragmentos de recuerdos antiguos. Sostenerla permite vislumbrar ecos del pasado."
CRN_Name_43,346366139162658,Obtanio
CRN_Desc_43,346366139162659,"Mineral de nivel 1. Mucho más fácil de conseguir que otros minerales, y aun así cumple su función. ¿Por qué todos están tan obsesionados con lo inalcanzable cuando esto se consigue tan fácil?"
CRN_Name_44,346366139162660,Artilugio gastronómico
CRN_Desc_44,346366139162661,"Tecnología antigua de nivel 1. Hace mucho tiempo, los exploradores del espacio profundo usaban este dispositivo para sumergir sus cabezas en líquido respirable. Parece que ya no es nada apto para su uso, pero es genial para partes."
CRN_Name_45,346366139162662,Inversor de iones
CRN_Desc_45,346366139162663,"Tecnología antigua de nivel 2. Los antiguos Gastronautas estaban tan preocupados por si podían o no invertir iones, que no se detuvieron a pensar si debían hacerlo."
CRN_Name_46,346366139162664,Punto de esfuerzo de Rangus
CRN_Desc_46,346366139162665,¡Reúne puntos para aumentar tu rango de empleado de Rangus!
CTC_Name_1,346366139162668,Monedas
CTC_Name_2,346366139162669,Pez
FAC_Name_1,346366139162670,Máquina
FAC_Name_2,346366139162671,Acuático
FAC_Name_3,346366139162672,Mutante
FAC_Name_4,346366139162673,Franken
FAC_Name_5,346366139162674,Omni
FAC_Name_6,346366139162675,Insectoide
FAC_Name_7,346366139162676,Alienígena
FAC_Name_8,346366139162677,Rangus
FAC_Name_9,346366139162678,Cazadores
FAC_Name_10,346366139162679,Enemigogenérico
GN_Name_1,346366139162680,Fosa de agua
GN_Name_3,346366139162681,Gastronauta antiguo
GN_Name_4,346366139162682,Nodo de obtanio
HE_Desc_1,346366139162687,"Inflige 20 de daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color> (+10 por acumulación) a una cadena de 3 enemigos."
HE_Desc_3,346366139162689,"Inflige daño y causa el efecto <#FFEB04><link=""Keyword:7"">[Tambaleado]</link></color> en cadena a 3 enemigos."
HE_Desc_11,346366139162691,"Propaga el efecto <#FFEB04><link=""Keyword:1"">[Ardiendo]</link></color> en cadena a 2 objetivos cuando golpeas a un enemigo <#FFEB04><link=""Keyword:1"">[Ardiendo]</link></color>"
HE_Desc_17,346366139162693,"Obtén 20 de <#FFEB04><link=""Keyword:11"">[Barrera]</link></color> (+10 por acumulación) durante 30 s."
HE_Desc_24,346366139162695,"Causa el efecto <#FFEB04><link=""Keyword:1"">[Ardiendo]</link></color> durante 12 s."
HE_Desc_33,346366139162697,Invoca un esbirro avispa mediano.
HE_Desc_37,346366139162699,Genera un Orbe cinético que daña a los enemigos cercanos.
HE_Desc_38,346366139162701,Inflige 25 de daño de área al objetivo.
HE_Desc_51,346366139162703,Genera un Orbe Eléctrico que inflige 25 de daño por segundo en un radio de 5 m.
HE_Desc_53,346366139162705,"Causa el efecto <#FFEB04><link=""Keyword:2"">[Embarrado]</link></color> durante 4 s."
HE_Desc_55,346366139162707,"Causa el efecto <#FFEB04><link=""Keyword:2"">[Embarrado]</link></color> durante 12 s."
HE_Desc_58,346366139162709,"Causa el efecto <#FFEB04><link=""Keyword:8"">[Electrificado]</link></color> durante 12 s."
HE_Desc_59,346366139162711,"Causa el efecto <#FFEB04><link=""Keyword:3"">[Enfriado]</link></color> durante 12 s."
HE_Desc_60,346366139162713,Carga completamente Carne misteriosa.
HE_Desc_61,346366139162715,Obtiene 25 % de aumento de carga de Carne misteriosa.
HE_Desc_64,346366139162719,"+5 % de acumulación de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color>"
HE_Desc_65,346366139162721,"En un objetivo <#FFEB04><link=""Keyword:1"">[Aridendo]</link></color>: +10 % de probabilidad de un golpe crítico durante 30 s."
HE_Desc_66,346366139162723,"En un objetivo <#FFEB04><link=""Keyword:1"">[Aridendo]</link></color>, causa el efecto <#FFEB04><link=""Keyword:19"">[Combustión]</link></color>."
HE_Desc_68,346366139162725,El objetivo deja caer carne.
HE_Desc_69,346366139162727,El objetivo deja caer una caja de munición.
HE_Desc_70,346366139162729,Encadena el 50 % del daño a 2 enemigos cercanos.
HE_Desc_71,346366139162731,"Encadena <#FFEB04><link=""Keyword:17"">[Efectos]</link></color> a 3 enemigos cercanos."
HE_Desc_72,346366139162733,"+5 % de acumulación de <#FFEB04><link=""Keyword:14"">[Limo]</link></color> "
HE_Desc_73,346366139162735,"Causa el efecto <#FFEB04><link=""Keyword:2"">[Embarrado]</link></color> en cadena a 3 enemigos."
HE_Desc_75,346366139162737,"+20 de <#FFEB04><link=""Keyword:11"">[Barrera]</link></color>"
HE_Desc_76,346366139162739,"+5 % de acumulación <#FFEB04><link=""Keyword:12"">[Eléctrica]</link></color> "
HE_Desc_77,346366139162741,"En un objetivo <#FFEB04><link=""Keyword:8"">[Electrificado]</link></color>: encadena el daño a 2 enemigos."
HE_Desc_78,346366139162743,"Daña al objetivo <#FFEB04><link=""Keyword:8"">[Electrificado]</link></color> y causa el efecto <#FFEB04><link=""Keyword:7"">[Tambaleado]</link></color>."
HE_Desc_79,346366139162745,"+5 % de acumulación de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color>"
HE_Desc_80,346366139162747,"Si el objetivo de una habilidad de carne tiene el efecto <#FFEB04><link=""Keyword:3"">[Enfriado]</link></color> o <#FFEB04><link=""Keyword:4"">[Congelado]</link></color>, aumenta la recarga de habilidades en un 20 % durante 30 s."
HE_Desc_81,346366139162749,"+5 % de daño de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color><br>+5 % de acumulación de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color><br>+15 % de daño de <#FFEB04><link=""Keyword:18"">[Fragmentación]</link></color> durante 45 s."
HE_Desc_82,346366139162751,"En un objetivo <#FFEB04><link=""Keyword:4"">[Congelado]</link></color>: obtén una acumulación de <#FFEB04><link=""Keyword:15"">[Hielo]</link></color> en un 25 % y el daño <#FFEB04><link=""Keyword:18"">[Fragmentado]</link></color> en un 110 % durante 25 s. Se acumula hasta 3 veces."
HE_Desc_93,346366143356932,"Refleja el daño como <#FFEB04><link=""Keyword:5"">[Cinético]</link></color>."
HE_Desc_94,346366143356934,"Refleja el daño como <#FFEB04><link=""Keyword:14"">[Limo]</link></color>."
HE_Desc_95,346366143356936,"Refleja el daño como <#FFEB04><link=""Keyword:13"">[Fuego]</link></color>."
HE_Desc_96,346366143356938,"Refleja el daño como <#FFEB04><link=""Keyword:15"">[Hielo]</link></color>."
HE_Desc_97,346366143356940,"Refleja el daño como <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color>."
HE_Desc_98,346366143356942,"Aplica el efecto <#FFEB04><link=""Keyword:7"">[Tambaleado]</link></color> durante 5 s."
HE_Desc_99,346366143356944,"Propaga +15 % de Vulnerabilidad elemental cuando golpeas a un objetivo <#FFEB04><link=""Keyword:2"">[Embarrado]</link></color>."
HE_Desc_103,346366143356948,+50 % de daño durante 5 s.
HE_Desc_105,346366143356950,+5 % de todo tipo de daño durante 10 s (máx. +25 %)
