Key,Id,Korean(ko)
A_CAPTURED_SPIDER,46628102279782400,포획된 거미
A_FRANKEN_TICKLER,46628101457698816,프랑켄 티클러
A_HIVE_TENDRIL,46628112698433536,벌집 덩굴
ALIEN_BULB,46628101419950080,외계 구근
AN_ITEM_CAPSULE,46628112023150592,아이템 캡슐
BOLT_BURGER,46628108516712448,볼트 버거
CARL_TERMINAL_ALL_COMPLETED_ENTRY,58590589204029440,전부 멋지게 해냈군! 어쩌면 행성들을 탐험하면서 더 많은 걸 발견할 수 있을지 모르지...
CARL_TERMINAL_DESCRIPTION,58588929878646784,은하계 이쪽 구역에서 가장 훌륭한 매니저
CARL_TERMINAL_MISSING_MATERIALS,30366100192485376,누락된 재료
CARL_TERMINAL_REQUIRED_MATERIALS_HEADER,30380913715044352,필요한 재료:
CARL_TERMINAL_TITLE,58588816691159040,칼 랭거스
CAVE_ENTRANCE,48527482492321792,동굴 입구
COACH_DAN,46628101034074112,코치 댄
COMMON_BACK,58577423170527232,뒤로
COMMON_COMPLETED,58590894855544832,완료
COMMON_SIDEQUESTS,74560833584095232,사이드 퀘스트
COMPASS_DISTANCE_FMT,46402692690468864,{Distance}m
CONTROL_PANEL,71374858701537280,제어판
CURRENCY_TRADER_DESCRIPTION,58576262912794624,// 화폐 및 자원 변환
CURRENCY_TRADER_TITLE,58576102623272960,트레이더 마이크
DAMAGE_TYPE_ELECTRIC,43142638340136960,전기
DAMAGE_TYPE_FIRE,43142553082519552,화염
DAMAGE_TYPE_ICE,43142575572377600,얼음
DAMAGE_TYPE_KINETIC,43142700797517824,운동
DAMAGE_TYPE_SLIME,43142609625931776,점액
DEATH_FINAL_TITLE,74209383469277184,죽은 고기
DEATH_LAST_CHANCE,73578787034357760,마지막 기회!
DEATH_RESPAWNING_TITLE,73560258369282048,리스폰 중
DEATH_SCREEN_KILLED_BY_FMT,73552691249274880,<color=#FFC700>{CreatureName}</color>에게 살해됨
DIAMOND,66974994580406272,다이아몬드
DirtbagName,84665500557934592,더트백
Drain Tunnel,64088669405609984,배수 터널
Drain Tunnel 2,64091624674459648,배수 터널 2
EMERGENCY_TEXT_DEFAULT_DESCRIPTION,46144714159616000,응용 프로그램이 시작 중에 오류가 발생해 실패했습니다. 컴퓨터를 다시 시작하면 도움이 될 수 있습니다.
EMERGENCY_TEXT_DEFAULT_FOOTER,46312787621638144,SwapMeat Discord 서버의 #create-bug-reports 채널을 통해 언제든지 저희에게 도움을 요청하실 수 있습니다.<br>이 애플리케이션은 30초 후에 자동으로 종료됩니다.
EMERGENCY_TEXT_DEFAULT_TITLE,46144708803489792,애플리케이션 시작 오류
EMERGENCY_TEXT_IO_DESCRIPTION,46312933025574912,시작 중 하나 이상의 파일을 읽다가 오류가 발생했습니다. 바이러스 검사 프로그램이 과도하게 실행되었거나 이전에 실행한 게임이 완전히 종료되지 않은 경우에 자주 발생합니다.<br>문제가 지속될 경우 컴퓨터를 다시 시작하면 파일 잠금이 해제됩니다.
EMPLOYEE_RANK_POINTS_FORMAT,38765036250849280,{Current} / {Total} RP
