Key,Id,Portuguese (Brazil)(pt-BR)
ABC_Name_1,346366113996800,Feixe
ABC_Name_2,346366126579712,Área de Efeito
ABC_Name_3,346366126579713,Invocação
ABC_Name_4,346366126579714,Projétil
ABC_Name_5,346366126579715,Vantagem
ABC_Name_6,346366126579716,Movimento
ABL_Name_2,346366126579717,Torreta Balística
ABL_Desc_2,346366126579718,Implanta uma torreta que atira em inimigos próximos.
ABL_Name_3,346366126579719,Investida Turbo
ABL_Desc_3,346366126579720,"Após segurar para carregar, avança e explode."
ABL_Name_7,346366126579721,Bomba de Energia
ABL_Desc_7,346366126579722,"Lança uma bomba que causa dano <#FFEB04><link=""Keyword:12"">[Elétrico]</link></color>."
ABL_Name_8,346366126579723,Arrancada
ABL_Desc_8,346366126579724,Move-se rapidamente na direção que você está olhando.
ABL_Name_9,346366126579725,Abraços Grátis
ABL_Desc_9,346366126579726,"Peça a ajuda do seu parceiro Reset! <br>Puxa inimigos próximos e causa pulsos de dano <#FFEB04><link=""Keyword:5"">[Cinético]</link></color>."
ABL_Name_27,346366126579727,Míssil de Carne
ABL_Desc_27,346366126579728,Taca um foguetão que explode no impacto.
ABL_Name_52,346366130774016,Minas Terrestres
ABL_Desc_52,346366130774017,Implanta uma linha de minas terrestres.
ABL_Name_53,346366130774018,Passos Eólicos
ABL_Desc_53,346366130774019,"Teleporte para frente e ganhe Passos Aéreos<br>Ataques Corpo a Corpo causam 50% de dano adicional <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> por 10s."
ABL_Name_56,346366130774020,Onda de Explosão
ABL_Desc_56,346366130774021,"Cria uma onda de choque que causa dano <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> e empurra inimigos."
ABL_Name_63,346366130774022,Arrancada Explosiva
ABL_Desc_63,346366130774023,Avança e deixa uma explosão para trás.
ABL_Name_64,346366130774024,Queda Banzai
ABL_Desc_64,346366130774025,"Toque para pular, segure para um pulo maior. <br>Use no ar para desferir um golpe para baixo e causar um grande estrondo."
ABL_Name_66,346366130774026,"Desliza, Coxão Mole"
ABL_Desc_66,346366130774027,Desliza rapidamente na direção do seu movimento.
ABL_Name_68,346366130774028,Superbolo de Carne
ABL_Desc_68,346366130774029,Serve uma guloseima que atrai os inimigos e depois causa dano e atordoa qualquer um que a ataque.
ABL_Desc_69,346366130774031,"Lança uma bomba que causa dano <#FFEB04><link=""Keyword:5"">[Cinético]</link></color>."
ABL_Name_73,346366130774034,Água de Salsicha
ABL_Desc_73,346366130774035,"Mande um gole pra dentro e vire super-herói!<br>+500% de velocidade de ataque, 5x de dano, pulos extras e mais velocidade!"
ABL_Desc_78,346366130774041,"Lança uma bomba que causa dano de <#FFEB04><link=""Keyword:14"">[Gosma]</link></color>."
ABL_Name_81,346366130774046,Corrida
ABL_Desc_81,346366130774047,Corre mais rápido enquanto avança. Segure para correr mais longe.
ABL_Desc_82,346366130774049,"Lança uma bomba que causa dano de <#FFEB04><link=""Keyword:15"">[Gelo]</link></color>."
ABL_Name_86,346366130774056,Caixa de Suprimentos
ABL_Desc_86,346366130774057,Posiciona uma Caixa de Munição que permite aos jogadores próximos atirar sem recarregar e concede +50% de velocidade de ataque.
ABL_Name_87,346366130774058,Laser Franken
ABL_Desc_87,346366130774059,Dispara um raio laser enorme e te faz perder a cabeça!
ABL_Name_88,346366130774060,Congestionamento Monolítico
ABL_Desc_88,346366130774061,Joga sua cabeça para atacar um inimigo ou quebrar alguma coisa.
ABL_Name_89,346366130774062,Congelamento Instantâneo
ABL_Desc_89,346366130774063,Congela instantaneamente todos os inimigos em um raio de 25 metros.
ABL_Name_90,346366130774064,Arrancada da Aranha
ABL_Name_91,346366130774066,Olhos Teleguiados
ABL_Desc_91,346366130774067,Lança olhinhos que voam em direção aos inimigos e depois explodem.
ABL_Name_92,346366130774068,Bomba Glu Glu
ABL_Desc_92,346366130774069,Lança uma bomba que atrai os inimigos antes de explodir.
ABL_Name_95,346366130774070,Torreta Flutuante
ABL_Desc_95,346366130774071,Implanta uma torreta voadora que atira em inimigos próximos.
ABL_Name_96,346366130774072,Micro Jacksons
ABL_Desc_96,346366130774073,Chama lacaios mutantes malignos.
ABL_Name_97,346366130774074,Feixe Amaciador
ABL_Desc_97,346366130774075,Concentra seu poder em um raio que destrói tudo em seu caminho.
ABL_Desc_99,346366130774079,"Lança uma bomba que causa dano de <#FFEB04><link=""Keyword:13"">[Fogo]</link></color>."
ABL_Name_100,346366130774080,Passos Carniceiros
ABL_Desc_100,346366130774081,"Avance para frente<br>Ataques à distância causam 20% de dano <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> adicional por 10s."
ABL_Name_101,346366130774082,Supercarga
ABL_Desc_101,346366130774083,"Receba <#FFEB04><link=""Keyword:10"">[Munição Infinita]</link></color> e +40% de Velocidade de Ataque por 15s."
ABL_Name_108,346366130774094,Arrancada Sísmica
ABL_Desc_108,346366130774095,"Causa dano <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> aos inimigos enquanto você corre."
ABL_Name_117,346366130774112,Armadura de Ossos
ABL_Desc_117,346366130774113,"Concede 150 de <#FFEB04><link=""Keyword:11"">[Barreira]</link></color> aos aliados próximos por 30s.<br>Enquanto a <#FFEB04><link=""Keyword:11"">[Barreira]</link></color> durar, Reflete o dano sofrido."
ABL_Name_142,346366130774162,Golpe de Braço
ABL_Desc_142,346366130774163,Gira e acerta os inimigos próximos. Irrá!
ABL_Name_147,346366130774172,Arrancada da Vespa
ABL_Desc_147,346366130774173,"Avança para frente, lançando estrondos em seu caminho."
ABL_Desc_152,346366130774183,"Avance para frente<br>Ataques à distância causam 20% de dano de <#FFEB04><link=""Keyword:15"">[Gelo]</link></color> adicional por 10s."
ABL_Desc_153,346366130774185,"Avance para frente<br>Ataques à distância causam 20% de dano de <#FFEB04><link=""Keyword:14"">[Gosma]</link></color> adicional por 10s."
ABL_Desc_154,346366130774187,"Avance para frente<br>Ataques à distância causam 20% de dano <#FFEB04><link=""Keyword:12"">[Elétrico]</link></color> adicional por 10s."
ABL_Desc_155,346366130774189,"Avance para frente<br>Ataques à distância causam 20% de dano de <#FFEB04><link=""Keyword:13"">[Fogo]</link></color> adicional por 10s."
ABL_Name_164,346366130774206,Arremesso de Patapedra
ABL_Desc_164,346366130774207,Joga uma boa e velha pedra explosiva.
ABL_Name_169,346366130774216,Feixe de Levitação
ABL_Desc_169,346366130774217,Flutua no ar enquanto dispara um poderoso raio contra alvos terrestres.
ABL_Name_174,346366130774226,Cuspe da Vespa
ABL_Desc_174,346366130774227,Vomita um cone de projéteis.
ABL_Name_179,346366130774236,Octo Giro
ABL_Desc_179,346366130774237,Gira enquanto atira em todas as direções. Também é bem maneiro.
ABL_Name_184,346366130774246,Cuspe do Homem-toupeira
ABL_Desc_184,346366130774247,Lança pedrinhas dolorosas em seus inimigos.
ABL_Name_197,346366130774272,Tocaia
ABL_Desc_197,346366130774273,Entra sob o solo e explode ao emergir.
ABL_Name_198,346366130774274,Atirador Bobão
ABL_Desc_198,346366130774275,Implanta um Bobão que atira em inimigos próximos. O nome já diz tudo.
ABL_Name_199,346366130774276,Enxame de Foguetes
ABL_Desc_199,346366130774277,Lança um monte de mísseis não guiados.
ABL_Name_200,346366130774278,Marca Ninja
ABL_Desc_200,346366130774279,"Lança 5 shurikens. Cada acerto concede<br>+3% de Velocidade de Ataque<br>+10 de Dano <#FFEB04><link=""Keyword:5"">Cinético</link></color><br>+3% de Dano <#FFEB04><link=""Keyword:5"">[Cinético]</link></color><br>(Acumula até 5 vezes)."
ABL_Name_201,346366130774280,Corte Carregado
ABL_Desc_201,346366130774281,Desfere um ataque Corpo a Corpo triplo com salto.
ABL_Desc_218,346366134968329,"Teleporte para frente e ganhe Passos Aéreos<br>Ataques Corpo a Corpo causam 50% de dano adicional <#FFEB04><link=""Keyword:12"">[Elétrico]</link></color> por 10s."
ABL_Desc_219,346366134968331,"Teleporte para frente e ganhe Passos Aéreos<br>Ataques Corpo a Corpo causam 50% de dano adicional de <#FFEB04><link=""Keyword:13"">[Fogo]</link></color> por 10s."
ABL_Desc_220,346366134968333,"Teleporte para frente e ganhe Passos Aéreos<br>Ataques Corpo a Corpo causam 50% de dano adicional de <#FFEB04><link=""Keyword:15"">[Gelo]</link></color> por 10s."
