Key,Id,Portuguese (Brazil)(pt-BR)
ITEM_NOTIFICATION_STACK_COUNT_FMT,42659474148679680,x{StackCount}
INTERACTION_PROMPT_TYPE_NONE_FMT,43126879249489920,{ActionText}
INTERACTION_PROMPT_TYPE_PRESS_FMT,43127706953441280,{BindingText} {ActionText}
INTERACTION_PROMPT_TYPE_HOLD_FMT,43127738511384576,Segure {BindingText} para {ActionText}
INTERACT_PROMPT_HEALTH_GAIN_FMT,43375595235565568,+{HealthGain}
EVENT_OBJECTIVE_TASKS_FMT,45737656791851008,<nobr>{NumDone}/{NumTodo}</nobr> {Detail}
EVENT_OBJECTIVE_DAMAGE_ANY_ENEMY_FMT,45684262786031616,Danificado <nobr>{NumDamaged}/{NumToDamage}</nobr>
COMPASS_DISTANCE_FMT,46402692690468864,{Distance} m
JOIN_GAME_PLAYERNAME_FMT,48095464992530432,Jogo de {PlayerName}
JOIN_GAME_PLAYERCOUNT_FMT,48096123611504640,{Current}/{Max}
MODE_SELECT_HOST_PUBLIC,214248185856,ANFITRIÃO - PÚBLICO
MODE_SELECT_HOST_FRIENDS_ONLY,278383288320,Anfitrião - Privado
MODE_SELECT_HOST_PRIVATE,327255318528,Um Jogador
CARL_TERMINAL_MISSING_MATERIALS,30366100192485376,Materiais Ausentes
CARL_TERMINAL_REQUIRED_MATERIALS_HEADER,30380913715044352,Materiais Necessários:
MAIN_MENU_SKIP_TUTORIAL,31076355092242432,Pular Tutorial
MAIN_MENU_DISCORD_SERVER_BUTTON,31076690544287744,Participe do Discord
MAIN_MENU_DEBUG_HEADER,31076998813048832,Depurador
MAIN_MENU_UPLOAD_LOGS,31077125934014464,Carregar Logs
MAIN_MENU_WISHLIST,31077254808199168,Adicione à Lista de Desejos no Steam
MAIN_MENU_MULTIPLAYER,31077375373467648,Multijogador
MAIN_MENU_OPTIONS,31077450753499136,Opções
MAIN_MENU_RESUME,31077530629824512,Continuar [InputAction:UI/Cancel]
MAIN_MENU_ABANDON_RUN,31077628587794432,Sair para o Saguão
MAIN_MENU_EXIT,31077710762598400,Sair do Jogo
MESSAGE_BOX_QUIT_TITLE,31098413507403776,Sair da Partida
MESSAGE_BOX_QUIT_MESSAGE,31098545544093696,Quer mesmo sair?
MESSAGE_BOX_FEEDBACK_TITLE,31099905689772032,Feedback
MESSAGE_BOX_FEEDBACK_MESSAGE,31100033314054144,Gostaria de participar de uma breve pesquisa para nos ajudar a melhorar o jogo?
MESSAGE_BOX_FEEDBACK_CONFIRM,31100327628365824,Sim!
MESSAGE_BOX_FEEDBACK_CANCEL_ON_EXIT,31100501750702080,"Não, tô de boa"
MESSAGE_BOX_FEEDBACK_CANCEL,31100557044211712,Talvez mais tarde
MESSAGE_BOX_JOIN_GAME_TITLE,31100726099828736,Entrar em Nova Partida
