Key,Id,Chinese (Simplified)(zh-Hans)
06ee873104e6457f8fa804beda5d776f_40_0,55920373358587904,乘坐电光飞堡逃离
077ed3a648524d648d4f5830819caedf_25_0,13533376626548736,水上迫降事件
080d27fb42324e548cdeb9c78188b9e1_81_0,12863354224762921,恭喜，冠军！
0c5e0b437f13418387fcb4fda3255c12_110_0,45428356416528384,找到黏浆池
0d2b2836ea734fdf9cc838949e782087_43_0,12863354224762890,进入禁忌海湾
1016690cd2f7490092f4aeab093cec72_109_0,39596777527869441,物品箱已被摧毁
10284edea78c43f3a1daa7d6b798a24e_47_0,4741774361747457,你做到了！
10ba103a02a742209c06b33018b68ef2_90_0,13533376634937347,提取肉核！
1415483d8e43417fb532b91312777e21_73_0,12863354224762906,正在烹调中...
144401ad86fc4e17a5b485773aed3c37_92_0,31181757266366471,靠近缺口
144401ad86fc4e17a5b485773aed3c37_96_0,12863354224762931,使用 [InputAction:Gameplay/CharacterMovement] 移动到悬崖边
144401ad86fc4e17a5b485773aed3c37_97_0,31181757266366472,使用 [InputAction:Gameplay/CharacterMovement] 移动到信标处！
14b550cb62de4d47aa26571d5ec081a4_73_0,35944490127581184,逃离异星
153cc3f8cf1f4d0888816bf658a8632c_100_0,18288937009971200,鱼怪已被击败
1698bcf073164975b50d0c057e9e9434_40_0,35944490102415360,下一波
1698bcf073164975b50d0c057e9e9434_83_0,12863354224762923,各就各位，预备...
1d47360bac994027a98c29d45df2a55b_37_0,12863354220568587,等离子喷口已被摧毁
1d47360bac994027a98c29d45df2a55b_69_0,36342413208686592,工厂节点已被摧毁
1d47360bac994027a98c29d45df2a55b_70_0,42829564557496320,广播发射器已被摧毁
1d47360bac994027a98c29d45df2a55b_72_0,42829564557496321,摧毁工厂
218fe4acf7964a7cb5c7be094c6e69c0_40_0,13533376630743042,节点 C
29488c16d198412883a2a51596acc2bb_88_0,34098342817202177,高脚镭射怪已被击败
29b4771bd209406eb232367ab4aef6ea_40_0,12863354220568591,防御节点已着陆
29b4771bd209406eb232367ab4aef6ea_90_0,31181757266366465,收割者防御节点已着陆
2b68a27692834455b2862225321d85bf_84_0,28606152955428864,暴走肉轮已被击败
2bcb060e74794ee6b35dec056cb1ad4b_4_0,12863354220568577,小瞪眼肉坨已被消灭
302c872126a14ec2838403c78ca53dbe_35_0,12863354220568585,虫型敌人
307da1864b474e55ad4c1444a56658db_47_0,12863354224762895,击败弗兰肯豆
363558d8493e48e289610cc80a45dce7_92_0,13533376634937350,目标！
36cd18992f274b02a91cd6c0e992f1f4_101_0,31321804916948992,排放口位置
3a678daece2d40309b8eb9970ebf79ba_36_0,12863354220568586,找到侵染区
3a678daece2d40309b8eb9970ebf79ba_53_0,12863354224762896,找到兰格斯基地
3b601266bb5d4a38b0834fd14d1ef92c_1_0,12863354212179968,摧毁蜂巢触须
3c99156a71e94689befdad6541f0bf07_90_0,12863354224762927,敌人已被击败
3fdff34d02474be4a2ecff716417f87d_81_0,12863354224762919,压制对手
4115cee4e56045ee915c6d12fc8f28bf_57_0,25819545806340097,找到黏液聚集处
43299c14b63f49d78c190b2a798a27a6_98_0,16371853938163714,进入附近的洞穴
455efe9b97694027bc0a679531a30729_79_0,28265088556195840,找到治疗站
45913b0062ba4bedad3d390ead657593_117_0,50485223704264705,重启瑞赛特
45c41fc4a38742fdb704cb4e69bcd9da_79_0,28263989174591488,使用治疗站恢复生命值
47d22a0a9d04426a939f3ea0864b5205_88_0,34098342817202176,防御水晶已被摧毁
4803acde682845028daa9cb9d258ff91_40_0,12863354224762881,剩余时间
4a9bef823c604de19b73c9aeafca1d8d_117_0,50485223704264704,找到瑞赛特
4a9bef823c604de19b73c9aeafca1d8d_60_0,12863354224762897,找到卡吕普索的肾
4c5f937ce7714ef9b521d16bc072a73a_89_0,45789048323694592,薅点免费的肉吧！
4ddcdfd50d0e47f08fd6bc7f5f1bb469_89_0,15325185385988097,光束已被阻断
58f4d3f77dd547dc8169638a7b3e062e_8_0,25819545705676800,找到坠毁的收割者
5ed58fbeb96d4cb382f8bc57afa849a5_40_0,4741774361747456,立即撤离！
631906e57b8d4160990d2e447587b61b_47_0,12863354224762894,进入巢穴
637d1804119d485f88ca47f98128d541_43_0,12863354224762892,击败舷炮射手
63a0f53118c1402c99a31618368c68ea_91_0,13533376634937349,虫卵
641e13cf11144468b19d70851075d9a7_25_0,12863354220568583,让瑞赛特活下来
64f797dc3da74b8ea65cf4e2d44341ba_117_0,50485223704264706,瑞赛特要被炸飞了！
6f2d88d0310742859bdb6238d3e4ad86_91_0,12863354224762928,虫巢已被摧毁 (按 [InputAction:Gameplay/RangedFire] 射击)
7091b8121ac345a7b5dd032f1fb10d38_65_0,12863354224762900,摧毁护盾发生器
732760e06a494706bc85e319628b5c0f_8_0,13043324679086080,虫卵已被摧毁
736627e655094cfa8f25340937a2d4ff_64_0,25819545806340099,找到卡吕普索的心
780b3c462166410cb105383610f867a4_26_0,40699209502720000,.
79546cc3d5574f48bfeae8542285b2be_101_0,35236879184723968,阀门
7c767509160b47d09ee5fd3037cd6303_60_0,38122210821771264,卡吕普索的肾已被摧毁
7dd5734af14447428441a4afa3b05ccf_54_0,15335522801844224,长按
807edf1d4f3e4599a048379d0197a838_42_0,12863354224762885,找到献祭法阵
