Key,Id,Japanese(ja)
06ee873104e6457f8fa804beda5d776f_40_0,55920373358587904,ボルトバーガーで脱出する
077ed3a648524d648d4f5830819caedf_25_0,13533376626548736,水上着陸イベント
080d27fb42324e548cdeb9c78188b9e1_81_0,12863354224762921,おめでとう、チャンピオン！
0c5e0b437f13418387fcb4fda3255c12_110_0,45428356416528384,スラッジプールを見つける
0d2b2836ea734fdf9cc838949e782087_43_0,12863354224762890,禁断の入り江に入る
1016690cd2f7490092f4aeab093cec72_109_0,39596777527869441,コンテナを破壊した
10284edea78c43f3a1daa7d6b798a24e_47_0,4741774361747457,やった！
10ba103a02a742209c06b33018b68ef2_90_0,13533376634937347,ミートコア抽出！
1415483d8e43417fb532b91312777e21_73_0,12863354224762906,調理中...
144401ad86fc4e17a5b485773aed3c37_92_0,31181757266366471,隙間に近づく
144401ad86fc4e17a5b485773aed3c37_96_0,12863354224762931,[InputAction:Gameplay/CharacterMovement]で崖に向かう
144401ad86fc4e17a5b485773aed3c37_97_0,31181757266366472,[InputAction:Gameplay/CharacterMovement]でビーコンに移動！
14b550cb62de4d47aa26571d5ec081a4_73_0,35944490127581184,惑星から脱出する
153cc3f8cf1f4d0888816bf658a8632c_100_0,18288937009971200,魚を倒した
1698bcf073164975b50d0c057e9e9434_40_0,35944490102415360,次のウェーブ
1698bcf073164975b50d0c057e9e9434_83_0,12863354224762923,位置について、よーい...
1d47360bac994027a98c29d45df2a55b_37_0,12863354220568587,プラズマベントを破壊した
1d47360bac994027a98c29d45df2a55b_69_0,36342413208686592,工場ノードを破壊した
1d47360bac994027a98c29d45df2a55b_70_0,42829564557496320,ブロードキャスターを破壊した
1d47360bac994027a98c29d45df2a55b_72_0,42829564557496321,工場を破壊する
218fe4acf7964a7cb5c7be094c6e69c0_40_0,13533376630743042,ノード C
29488c16d198412883a2a51596acc2bb_88_0,34098342817202177,ハイビームを倒した
29b4771bd209406eb232367ab4aef6ea_40_0,12863354220568591,防衛ノードが着陸した
29b4771bd209406eb232367ab4aef6ea_90_0,31181757266366465,ハーベスター防衛ノードが着陸した
2b68a27692834455b2862225321d85bf_84_0,28606152955428864,ウィーリーを倒した
2bcb060e74794ee6b35dec056cb1ad4b_4_0,12863354220568577,小さなグロッボを破壊した
302c872126a14ec2838403c78ca53dbe_35_0,12863354220568585,昆虫の敵
