Key,Id,Chinese (Simplified)(zh-Hans)
A_CAPTURED_SPIDER,46628102279782400,一只被捕获的蜘蛛
A_FRANKEN_TICKLER,46628101457698816,一个弗兰肯咯吱怪
A_HIVE_TENDRIL,46628112698433536,一个蜂巢触须
ALIEN_BULB,46628101419950080,外星灯泡
AN_ITEM_CAPSULE,46628112023150592,一个物品胶囊
BOLT_BURGER,46628108516712448,电光飞堡
CARL_TERMINAL_ALL_COMPLETED_ENTRY,58590589204029440,你已经完成了所有任务！或许在探索那些星球的过程中，你还能发现更多...
CARL_TERMINAL_DESCRIPTION,58588929878646784,银河系这边最棒的经理
CARL_TERMINAL_MISSING_MATERIALS,30366100192485376,缺失材料
CARL_TERMINAL_REQUIRED_MATERIALS_HEADER,30380913715044352,所需材料：
CARL_TERMINAL_TITLE,58588816691159040,卡尔·兰格斯
CAVE_ENTRANCE,48527482492321792,洞穴入口
COACH_DAN,46628101034074112,丹教练
COMMON_BACK,58577423170527232,返回
COMMON_COMPLETED,58590894855544832,已完成
COMMON_SIDEQUESTS,74560833584095232,支线任务
COMPASS_DISTANCE_FMT,46402692690468864,{Distance} 米
CONTROL_PANEL,71374858701537280,控制面板
CURRENCY_TRADER_DESCRIPTION,58576262912794624,// 转换货币和资源
CURRENCY_TRADER_TITLE,58576102623272960,交易员迈克
DAMAGE_TYPE_ELECTRIC,43142638340136960,电击
DAMAGE_TYPE_FIRE,43142553082519552,火焰
DAMAGE_TYPE_ICE,43142575572377600,冰霜
DAMAGE_TYPE_KINETIC,43142700797517824,动能
DAMAGE_TYPE_SLIME,43142609625931776,黏液
DEATH_FINAL_TITLE,74209383469277184,死肉
DEATH_LAST_CHANCE,73578787034357760,最后机会！
DEATH_RESPAWNING_TITLE,73560258369282048,正在重生
DEATH_SCREEN_KILLED_BY_FMT,73552691249274880,死于<color=#FFC700>{CreatureName}</color>
DIAMOND,66974994580406272,钻石
DirtbagName,84665500557934592,土包子
Drain Tunnel,64088669405609984,排放隧道
Drain Tunnel 2,64091624674459648,排放隧道 2
EMERGENCY_TEXT_DEFAULT_DESCRIPTION,46144714159616000,应用程序启动时出现错误，导致启动失败。重启计算机或许可以解决问题。
EMERGENCY_TEXT_DEFAULT_FOOTER,46312787621638144,您随时可以通过 SwapMeat Discord 服务器的 #create-bug-reports 频道联系我们以寻求帮助。<br>此应用程序将在 30 秒后自动关闭。
EMERGENCY_TEXT_DEFAULT_TITLE,46144708803489792,应用程序启动错误
EMERGENCY_TEXT_IO_DESCRIPTION,46312933025574912,启动过程中读取一个或多个文件时出错。这通常是由于杀毒软件过度拦截，或上一次游戏运行未完全关闭导致的。<br>如果问题仍然存在，重启电脑应该可以清除文件锁定。
EMPLOYEE_RANK_POINTS_FORMAT,38765036250849280,{Current}/{Total} 等级点数
EMPLOYEE_RANK_RANKUP_FMT,38764977085997056,等级提升！+{Value}
EMPLOYEE_RANK_TITLE,38764887885733888,员工等级
EVENT_BANNER_COMPLETE,37577933345251328,完成！
EVENT_BANNER_PRIME_DIRECTIVE,37577651529965568,首要目标已完成！
EVENT_BANNER_SECONDARY_DIRECTIVE,37581156248444928,次要目标已完成！
EVENT_COMPLETE_NO_REWARDS,43499746143232000,完成！
EVENT_COMPLETE_REWARDS,36526246664855552,奖励：
